""	"cycle"	"bonica_rid"	"recipient_name"	"share.ind"	"share.group"	"recipient_state"	"recipient_party"	"np_score"	"candidate_cfscore"	"state.party"	"total.raised"
"43126"	2012	"cand113107"	"SHERWOOD, BEVERLY J"	0.0126449042806036	0.987355095719396	"VA"	200	0.75	0.505254206510349	"VA-200"	79083.24
"43127"	2002	"cand113109"	"SPRUILL SR, LIONELL"	0.135207245666157	0.789677617852645	"VA"	100	-0.602	-0.111503405573743	"VA-100"	41602.8
"43128"	2004	"cand113109"	"SPRUILL SR, LIONELL"	0.0770191507077436	0.727310574521232	"VA"	100	-0.602	-0.111503405573743	"VA-100"	48040
"43129"	2006	"cand113109"	"SPRUILL SR, LIONELL"	0.104248613337848	0.831957459097201	"VA"	100	-0.602	-0.111503405573743	"VA-100"	96404.16
"43130"	2008	"cand113109"	"SPRUILL SR, LIONELL"	0.206053946353482	0.659275439109422	"VA"	100	-0.602	-0.111503405573743	"VA-100"	159420.97
"43131"	2010	"cand113109"	"SPRUILL SR, LIONELL"	0.208805804801374	0.737230669696162	"VA"	100	-0.602	-0.111503405573743	"VA-100"	136203.11
"43132"	2012	"cand113109"	"SPRUILL SR, LIONELL"	0.121234869282139	0.86906634117529	"VA"	100	-0.602	-0.111503405573743	"VA-100"	123726.78
"43133"	2002	"cand113110"	"TATA, ROBERT (BOB)"	0.0186567164179104	0.943097014925373	"VA"	200	0.493	0.437889212535425	"VA-200"	26800
"43134"	2004	"cand113110"	"TATA, ROBERT (BOB)"	0.165219137222518	0.689199829556791	"VA"	200	0.493	0.437889212535425	"VA-200"	79439.95
"43135"	2006	"cand113110"	"TATA, ROBERT (BOB)"	0.0730701517173672	0.875021312127584	"VA"	200	0.493	0.437889212535425	"VA-200"	80060.05
"43136"	2008	"cand113110"	"TATA, ROBERT (BOB)"	0.0808742483847553	0.885521493283629	"VA"	200	0.493	0.437889212535425	"VA-200"	89274.4
"43137"	2010	"cand113110"	"TATA, ROBERT (BOB)"	0.0918456843689341	0.811658216863705	"VA"	200	0.493	0.437889212535425	"VA-200"	43006.92
"43138"	2012	"cand113110"	"TATA, ROBERT (BOB)"	0.192530422350395	0.797101385162868	"VA"	200	0.493	0.437889212535425	"VA-200"	72336.62
"43168"	2004	"cand1133"	"HUIZENGA, BILL"	0.223649459783914	0.738415366146459	"MI"	200	0.914	1.12635222677733	"MI-200"	83300
"43169"	2006	"cand1133"	"HUIZENGA, BILL"	0.285449225718975	0.702133732962249	"MI"	200	0.914	1.12635222677733	"MI-200"	70065
"43211"	2002	"cand113575"	"COUNCILL JR, J PAUL"	0	0.52889655723601	"VA"	100	-0.073	0.0262119838450649	"VA-100"	6381.21
"43212"	2004	"cand113575"	"COUNCILL JR, J PAUL"	0.022271714922049	0.933184855233853	"VA"	100	-0.073	0.0262119838450649	"VA-100"	11225
"43217"	2002	"cand113599"	"MARRS, BRADLEY P"	0.302134425216408	0.2777840756139	"VA"	200	0.902	0.738662221485198	"VA-200"	404018.84
"43218"	2004	"cand113599"	"MARRS, BRADLEY P"	0.188438220439696	0.793615282375571	"VA"	200	0.902	0.738662221485198	"VA-200"	83581.77
"43220"	2002	"cand113601"	"MCDONNELL, ROBERT F (BOB)"	0.2145325125464	0.770044557766605	"VA"	200	0.707	0.933835689597213	"VA-200"	113791.61
"43221"	2004	"cand113601"	"MCDONNELL, ROBERT F (BOB)"	0.130615932179763	0.841454965013742	"VA"	200	0.707	0.933835689597213	"VA-200"	140892.46
"43227"	2002	"cand113607"	"PARRISH, HARRY J"	0.00504413619167718	0.969735182849937	"VA"	200	0.484	0.300474463630405	"VA-200"	19825
"43228"	2004	"cand113607"	"PARRISH, HARRY J"	0	0.981065088757396	"VA"	200	0.484	0.300474463630405	"VA-200"	21125
