""	"ind.contributions"	"high.median.prof"	"year"	"group.contributions"
"569"	3025	1	1998	30150
"570"	700	1	2000	35950
"571"	300	1	2002	22400
"572"	5864.02	1	2004	34401
"573"	4496.24	1	2006	39000
"574"	1889.44	1	2008	49100
"575"	350	1	2010	42300
"576"	0	1	2012	20400
"577"	4896.23	1	1992	500
"578"	10717.07	1	1994	17175
"579"	2764.12	1	1996	16100
"580"	7048	1	1998	17850
"581"	7318	1	2000	17800
"582"	12658.99	1	2002	40105
"583"	11838.49	1	2004	20985.55
"584"	12308.15	1	2006	32921
"585"	14292.28	1	2008	28581.56
"586"	11130.33	1	2010	22240
"587"	2489	1	1996	50381
"588"	9685	1	1998	40263
"589"	7524	1	2000	50124
"590"	1600	1	1990	16075
"591"	0	1	1992	37480
"592"	1100	1	1994	54555
"593"	11057.2	1	1996	52275
"594"	1050	1	1998	44263
"595"	1720	1	2000	48970
"596"	1152.42	1	2002	60373.75
"597"	92061.36	1	2004	60625
"598"	35469.32	1	2006	133150
"599"	49447.5	1	2008	124640
"600"	4539.07	1	1992	31338.63
"601"	4125	1	1994	37045.67
"602"	2600	1	1996	33396.17
"603"	4935	1	1998	30335
"604"	5343	1	2000	33200
"605"	6422	1	2002	22100
"606"	8822.5	1	2004	44468.67
"607"	19673.88	1	2006	34639
"608"	6800	1	1990	8475
"609"	5850	1	1992	12700
"610"	4350	1	1994	11220
"611"	1800	1	1996	13900
"612"	5917.19	1	1992	32016.2
"613"	6218.11	1	1994	40330
"614"	4774.43	1	1996	48458.5
"615"	6220	1	1998	44425
"616"	50330	1	2000	83891
"617"	1530.88	1	2002	77643.75
"618"	10060.91	1	2004	80850
"619"	13923.98	1	2006	117975
"620"	30081.71	1	2008	149080
"621"	2875	1	1992	23756.56
"622"	9355	1	1994	46430
"623"	11463	1	1996	43560
"624"	16029.4	1	1998	66691
"625"	20420	1	2000	97640
"626"	20552.01	1	2002	83264.68
"627"	14350.42	1	2004	76139.08
"628"	11905.24	1	2006	96463.3
"629"	12188.68	1	2008	102448.64
"630"	38236.49	1	2010	150773.63
"631"	2457.91	1	1992	14850
"632"	1250	1	1994	29505
"633"	200	1	1996	37150
"634"	3840	1	1998	29075
"635"	3718	1	2000	47772
"636"	12390.31	1	2002	57030
"637"	1995	1	2004	65302.56
"638"	20961.52	1	2006	57263.08
"639"	12990.82	1	2008	56241.01
"640"	6150	1	1994	9401
"641"	850	1	1996	12200
"642"	4085	1	1998	16975
"643"	3650	1	1992	46620.71
"644"	3898.1	1	1994	26100
"645"	7240	1	1996	38650
"646"	8860	1	1998	53969.5
"647"	12665	1	2000	43100
"648"	11054	1	1990	36318
"649"	400	1	1992	27335
"650"	6251.5	1	1994	45933.5
"651"	800	1	1996	46075
"652"	21710	1	1994	34341.88
"653"	3975	1	1996	27227.29
"654"	13840	1	1998	59278.58
"655"	15112	1	2000	41590
"656"	2808.89	1	2002	28576.37
"657"	22415.72	1	2004	40016.64
"658"	8615	1	2006	41625
"659"	550	1	1990	15050
"660"	1650	1	1992	11307.11
